0,0,1.5
0,30,1.5
30,30,1.5
0,30,1.5
30,30,1.5
30,0,1.5
0,30,1.5
30,30,1.5
30,30,1.5
30,0,1.5
30,30,1.5
60,30,1.5
30,30,1.5
30,0,1.5
30,30,1.5
60,30,1.5
30,0,1.5
30,60,1.5
30,0,1.5
0,30,1.5
60,30,1.5
0,30,1.5
60,30,1.5
30,0,1.5
0,60,1.5
30,30,1.5
0,30,1.5
30,60,1.5
30,30,1.5
0,30,1.5
30,30,1.5
30,60,1.5
60,30,1.5
0,30,1.5
60,30,1.5
30,30,1.5
30,30,1.5
30,60,1.5
30,0,1.5
30,60,1.5
60,30,1.5
30,60,1.5
30,30,1.5
60,0,1.5
0,30,1.5
60,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
30,0,1.5
0,30,1.5
0,30,1.5
0,0,1.0
